Age,mr_a,LE
0 year,0.004855,81.465
1 year,0.000255,80.865
2 years,0.00019,79.88
3 years,0.00015,78.9
4 years,0.000115,77.91
5 years,0.0001,76.915
6 years,0.00009,75.925
7 years,0.00008,74.935
8 years,0.000075,73.935
9 years,0.000075,72.945
10 years,0.000085,71.95
11 years,0.00009,70.955
12 years,0.000105,69.965
13 years,0.00013,68.97
14 years,0.00017,67.98
15 years,0.00023,66.99
16 years,0.000305,66.005
17 years,0.000385,65.025
18 years,0.000435,64.045
19 years,0.000475,63.075
20 years,0.000505,62.105
21 years,0.000525,61.135
22 years,0.000535,60.17
23 years,0.000535,59.2
24 years,0.00052,58.23
25 years,0.000505,57.255
26 years,0.0005,56.285
27 years,0.0005,55.315
28 years,0.00051,54.345
29 years,0.000525,53.37
30 years,0.000555,52.395
31 years,0.00059,51.425
32 years,0.000625,50.455
33 years,0.000665,49.485
34 years,0.00071,48.515
35 years,0.00076,47.555
36 years,0.00081,46.585
37 years,0.00087,45.62
38 years,0.00093,44.66
39 years,0.001,43.705
40 years,0.00108,42.745
41 years,0.00117,41.79
42 years,0.001265,40.84
43 years,0.00137,39.89
44 years,0.001485,38.945
45 years,0.001615,38
46 years,0.001755,37.06
47 years,0.00191,36.125
48 years,0.002085,35.195
49 years,0.00228,34.265
50 years,0.00249,33.34
51 years,0.00273,32.42
52 years,0.002995,31.505
53 years,0.00329,30.6
54 years,0.003605,29.695
55 years,0.003955,28.8
56 years,0.004345,27.91
57 years,0.00477,27.03
58 years,0.00524,26.155
59 years,0.005755,25.285
60 years,0.006325,24.43
61 years,0.00696,23.58
62 years,0.007655,22.74
63 years,0.008425,21.91
64 years,0.009275,21.09
65 years,0.01021,20.275
66 years,0.011245,19.475
67 years,0.012395,18.69
68 years,0.013665,17.915
69 years,0.015065,17.155
70 years,0.01662,16.405
71 years,0.018335,15.665
72 years,0.02024,14.945
73 years,0.022345,14.24
74 years,0.02469,13.545
75 years,0.02728,12.87
76 years,0.030155,12.21
77 years,0.03334,11.565
78 years,0.036885,10.94
79 years,0.040815,10.335
80 years,0.045185,9.75
81 years,0.050045,9.175
82 years,0.05544,8.625
83 years,0.061445,8.1
84 years,0.06813,7.59
85 years,0.07557,7.1
86 years,0.083855,6.635
87 years,0.09309,6.19
88 years,0.103385,5.765
89 years,0.11487,5.365
90 years,0.127685,4.99
91 years,0.14168,4.64
92 years,0.156585,4.32
93 years,0.17236,4.025
94 years,0.18897,3.75
95 years,0.20344,3.505
96 years,0.220945,3.27
97 years,0.239195,3.055
98 years,0.25809,2.855
99 years,0.27752,2.675
100 years,0.297365,2.505
101 years,0.317485,2.355
102 years,0.33773,2.22
103 years,0.357945,2.09
104 years,0.377995,1.98
105 years,0.39772,1.88
106 years,0.41699,1.785
107 years,0.435675,1.71
108 years,0.45368,1.635
109 years,0.47091,1.585
110 years and over,1,1.55
